,,Date,Year,Month,Day,Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,"Suppressed 
by","Suppressing 
Agency",Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Date,Time,Suspected Initiating Event,"Equipment /Facility 
Failure","Contact From 
Object","Facility 
Contacted",Contributing Factor,Notes,EIR Number
1746,PG&E,11/7/2020,2020,11,7,12:35,36.87535913,-120.1011827,Other,Agriculture,Unknown,Unknown,N.A.,101124349,N,"12,000",Pole,Overhead,Y,11/7/2020,11:20,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1508,PG&E,11/6/2020,2020,11,6,10:23,36.72952753,-121.2790144,Vegetation,Herbaceous,3 meters - 0.25 Acres,Cal Fire,Cal Fire Hollister,Pole ID: 103413616,N,"21,000",Pole,Overhead,Y,11/6/2020,10:20,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,,
1503,PG&E,11/6/2020,2020,11,6,7:03,38.655738,-121.867338,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Woodland FD,Circuit ID: 063171103,Y,"12,000",Conductor - Primary,Overhead,Y,11/6/2020,6:47,Weather,Conductor failure-all,N.A.,N.A.,Weather,High Winds,
1501,PG&E,11/5/2020,2020,11,5,15:28,37.293423,-120.415163,Other,Urban,1 meter - < 3 meters,Fire Agency,Merced FD,Pole ID: 101142469,Y,"12,000",Pole,Overhead,Y,11/5/2020,15:23,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1500,PG&E,11/5/2020,2020,11,5,13:59,35.2565,-120.6854,Vegetation,Hardwood Woodland,1 meter - < 3 meters,Fire Agency,SLO FD,Circuit ID: 182951102 ,Y,750,Conductor - Secondary,Overhead,Y,11/5/2020,13:43,Contact from object,N.A.,Vegetation,Conductor - Secondary,N.A.,,
1498,PG&E,11/4/2020,2020,11,4,10:42,37.1114867,-119.9890367,Other,Herbaceous,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 254611109,N,"12,000",Conductor - Primary,Overhead,Y,11/4/2020,11:40,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
1493,PG&E,11/2/2020,2020,11,2,15:54,35.280962,-120.586445,Other,Herbaceous,0.25 - 10 Acres,Cal Fire,N.A.,Pole ID: 054/303,N,"115,000",Insulator,Overhead,Y,11/2/2020,15:54,Contact from object,N.A.,Animal,Insulator,N.A.,,
1489,PG&E,11/2/2020,2020,11,2,14:15,38.201508,-121.095608,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Clements FD,"Circuit ID: 163682102, SAP ID: 102078687",Y,"12,000",Conductor - Primary,Overhead,Y,11/2/2020,14:12,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1488,PG&E,11/2/2020,2020,11,2,12:15,34.68175,-120.4364967,Vegetation,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Santa Barbara FD,"Circuit ID: 183101103, SAP ID: 101913493",Y,"12,000",Splice/Clamp/Connector,Overhead,Y,11/2/2020,12:08,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1752,PG&E,10/31/2020,2020,10,31,16:23,37.67994999,-121.90572,Vegetation,Urban,3 meters - 0.25 Acres,Unknown,N.A.,100953498,Unknown,"21,000",Riser,Underground,Y,10/31/2020,16:22,Equipment - PG&E,Riser Failure,N.A.,N.A.,N.A.,,
