,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
25,2015-09-09,20:40.00,32.64396,-117.072,Vegetation,Urban,Less Than .25 Acres,Utility,Chula Vista,P89691 - cir 255,none,12Kv,Conductor,Overhead,Yes,2015-09-09,20:40:00,,Conductor,Other,,Unknown,,Equipment/Facility Failure,
26,2015-09-17,08:09.36,32.679142,-117.104441,Vegetation,Urban,Less Than .25 Acres,Fire Agency,National City,P835456,none,12kV,Conductor,Overhead,Yes,2015-09-17,19:55:00,,Transformer,,,None,,Equipment/Facility Failure,
27,2015-10-02,14:30.00,33.1354,-117.05883999999999,Vegetation,Urban,Less Than .25 Acres,Customer,,P510149,,12kV,Conductor,Overhead,Yes,2015-10-02,14:30:00,,Splice/Clamp/Connector,Other,,Unknown,,Equipment/Facility Failure,
28,2015-10-08,13:47.00,32.5818,-116.9449,Vegetation,Rural,Less Than .25 Acres,Fire Agency, CAL FIRE,Z31746,,69kV,Conductor,Overhead,No,,,,Splice/Clamp/Connector,Other,,unknown,,Equipment/Facility Failure,
29,2015-10-09,16:00.00,32.7705,-117.1095,Other,Urban,Less Than .25 Acres,Fire Agency,SDFD,P931883,telco,4kV,Conductor,Overhead,Yes,2015-10-09,16:26:00,,Conductor,,,Unknown,,Equipment/Facility Failure,
30,2015-10-31,13:04:00 PM,33.339166999999996,-117.49475,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Pendleton,Z223694,,230V,Conductor,Overhead,No,2015-10-31,12:23:00,,,Animal,Electric Facility,Outside Force,,Contact From Object,
31,2015-12-26,03:04.00,33.1323,-117.0695,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido,P218563,,12kV,Conductor,Overhead,Yes,2015-12-26,03:04:00,,,Vegetation,Electric Facility,Weather,,Contact From Object,
32,,,,,,,,,,,,,,,,,,,,Other,,,,,
33,,,,,,,,,,,,,,,,,,,,Other,,,,,
34,,,,,,,,,,,,,,,,,,,,Other,,,,,
35,,,,,,,,,,,,,,,,,,,,Other,,,,,
36,,,,,,,,,,,,,,,,,,,,Other,,,,,
